time	position	velocity
0.18000000000000002	0.009888960983492089	0.10969946344151991
0.19000000000000003	0.010996972541093596	0.11518672504155403
0.20000000000000004	0.012159563887042509	0.12061174666144867
0.21000000000000005	0.013376114823847367	0.12597478773508805
0.22000000000000006	0.01464600774572059	0.13127610922637376
0.23000000000000007	0.01596862765375896	0.13651597359668996
0.24000000000000007	0.017343362170800118	0.1416946447725931
0.25000000000000006	0.018769601555957343	0.1468123881137258
0.26000000000000006	0.02024673871883481	0.15186947038095494
0.2700000000000001	0.02177416923342561	0.15686615970473405
0.2800000000000001	0.023351291351694725	0.16180272555368938
0.2900000000000001	0.02497750601684921	0.16667943870342988
0.3000000000000001	0.026652216876297822	0.17149657120558084
0.3100000000000001	0.02837483029430232	0.17625439635704104
0.3200000000000001	0.030144755364322637	0.18095318866946308
0.3300000000000001	0.031961403921058215	0.18559322383895696
0.34000000000000014	0.03382419055218766	0.1901747787160164
0.35000000000000014	0.03573253260980898	0.1946981312756679
0.36000000000000015	0.0376858502215826	0.1991635605878422
0.37000000000000016	0.03968356630157942	0.20357134678796798
0.38000000000000017	0.04172510656083607	0.20792177104778736
0.3900000000000002	0.04380989951761961	0.21221511554639316
0.4000000000000002	0.0459373765074039	0.21645166344148747
0.4100000000000002	0.04810697169255977	0.2206316988408613
0.4200000000000002	0.05031812207176134	0.224755506774095
0.4300000000000002	0.05257026748911052	0.22882337316447907
0.4400000000000002	0.054862850642982006	0.2328355848011551
0.45000000000000023	0.05719531709459094	0.23679242931147654
0.46000000000000024	0.0595671152762854	0.24069419513358883
0.47000000000000025	0.06197769649956592	0.24454117148922855
0.48000000000000026	0.06442651496283425	0.2483336483567413
0.49000000000000027	0.06691302775887346	0.2520719164443178
0.5000000000000002	0.06943669488206175	0.255756267163448
0.5100000000000002	0.0719969792353218	0.2593869926025925
0.5200000000000002	0.07459334663680826	0.2629643855010713
0.5300000000000002	0.07722526582633514	0.2664887392231688
0.5400000000000003	0.07989220847154554	0.2699603477324554
0.5500000000000003	0.08259364917382576	0.2733795055663247
0.5600000000000003	0.08532906547396593	0.27674650781074567
0.5700000000000003	0.08809793785756934	0.2800616500752304
0.5800000000000003	0.0908997497602126	0.2833252284680154
0.5900000000000003	0.09373398757235886	0.2865375395714573
0.6000000000000003	0.09660014064402596	0.28969888041764164
0.6100000000000003	0.09949770128921195	0.2928095484642047
0.6200000000000003	0.10242616479007995	0.29586984157036755
0.6300000000000003	0.10538502940090437	0.2988800579731819
0.6400000000000003	0.10837379635178088	0.30184049626398746
0.6500000000000004	0.1113919698521019	0.3047514553650798
0.6600000000000004	0.1144390570938	0.3076132345065886
0.6700000000000004	0.11751456825436118	0.3104261332035655
0.6800000000000004	0.12061801649960997	0.3131904512332807
0.6900000000000004	0.12374891798626882	0.31590648861272885
0.7000000000000004	0.1269067918642934	0.318574545576342
